Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
BUSCO,0.00506931,1.86E-09,2.29E+06,2.21E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00520259,1.91E-09,2.28E+06,2.28E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00497688,1.82E-09,2.42E+06,2.06E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00516287,1.89E-09,2.36E+06,2.19E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00557924,2.04E-09,2.56E+06,2.18E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.0056575,2.07E-09,2.52E+06,2.25E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00551068,2.02E-09,2.58E+06,2.13E-09,Malania_oleifera,perennial,outcrossing,large
BUSCO,0.00528663,1.94E-09,2.55E+06,2.08E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0100357,5.36E-09,1.75E+06,5.74E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0104263,5.57E-09,1.73E+06,6.03E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.00956476,5.11E-09,1.77E+06,5.41E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0098611,5.27E-09,1.75E+06,5.63E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0102561,5.48E-09,1.74E+06,5.88E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0106975,5.72E-09,1.76E+06,6.09E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0106355,5.68E-09,1.78E+06,5.99E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0112303,6.00E-09,1.75E+06,6.42E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0102427,5.47E-09,1.75E+06,5.84E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.00998207,5.33E-09,1.78E+06,5.62E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.010607,5.67E-09,1.73E+06,6.12E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0106199,5.67E-09,1.74E+06,6.12E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.00987147,5.27E-09,1.78E+06,5.55E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0104386,5.58E-09,1.74E+06,6.01E-09,Malania_oleifera,perennial,outcrossing,large
BUSCOsuper,0.0101463,5.42E-09,1.77E+06,5.75E-09,Malania_oleifera,perennial,outcrossing,large
